AFF_LOVE_POINT	Очки любви: %d%%
ALIGNMENT_NAME	Ранг:
ATTACK_ERROR_UNKNOWN	Неизвестная ошибка атаки: %s
CANNOT_ATTACK_DEST_IN_SAFE	Противник слишком далеко.
CANNOT_ATTACK_SELF_IN_SAFE	Я не могу атаковать.
CANNOT_EQUIP_IN_EXCHANGE	Вы не можете менять снаряжение во время торга.
CANNOT_EQUIP_IN_SHOP	Вы не можете менять снаряжение во время торга.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Открытие лавки на общем месте невозможно.
CANNOT_SHOOT_DEST_IN_SAFE	Противник слишком далеко.
CANNOT_SHOOT_EMPTY_ARROW	Мне нужна стрела.
CANNOT_SHOOT_SELF_IN_SAFE	Я не могу сделать этого.
CANNOT_SKILL_APPROACH	Я уверен, что не могу подойти ближе.
CANNOT_SKILL_ATTACK	Я не могу атаковать.
CANNOT_SKILL_BLUE	Пока активирована Огненная душа волка, Небесную душу волка активировать невозможно.
CANNOT_SKILL_DEST_IN_SAFE	Противник слишком далеко.
CANNOT_SKILL_EQUIP_FISHING_ROD	Мне нужна удочка.
CANNOT_SKILL_HAVE_TO_RIDE	Мне нужен конь, чтобы применить это.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	У меня нет пустого кувшина.
CANNOT_SKILL_NEED_POISON_BOTTLE	У меня нет кувшина с ядом.
CANNOT_SKILL_NEED_TARGET	Кто цель?
CANNOT_SKILL_NOT_ENOUGH_HP	Мне не хватает ХП!
CANNOT_SKILL_NOT_ENOUGH_SP	Мне не хватает MП!
CANNOT_SKILL_NOT_HORSE_SKILL	Я не могу применить это, когда я на коне.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Я не могу применить этот навык, пользуясь этим оружием.
CANNOT_SKILL_NOT_YET_LEARN	Я не изучил этот Навык.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Это распространяется только на участников группы.
CANNOT_SKILL_ONLY_FOR_CORPSE	Это распространяется только на убитых.
